input,effect,group,peak_lag_h,peak_r,r_at_0,r_at_4,r_at_7,basis
hot_blast_vol_nm3h,body_perm,aero,0,0.23900864403860997,0.23900864403860997,0.11537823098603954,0.056560602890821786,levels
hot_blast_vol_nm3h,top_press_avg,aero,0,0.7995793893192616,0.7995793893192616,0.4823109770904161,0.37619971807462077,levels
oxygen_flow,body_etaco,gas,0,0.2986585350148414,0.2986585350148414,0.2293424990088382,0.15808214842249904,levels
oxygen_flow,co_pct,gas,0,0.33220091529300966,0.33220091529300966,0.20722820450859444,0.1707398502743863,levels
oxygen_flow,co2_pct,gas,0,0.5836021179810248,0.5836021179810248,0.43409105649251245,0.3223633260407642,levels
oxygen_flow,h2_pct,gas,0,0.6720345584136885,0.6720345584136885,0.5752166204963444,0.46661485720882245,levels
oxygen_flow,top_temp_avg,gas,4,-0.08621881799340504,-0.031692174882462225,-0.08621881799340504,-0.03730502883628795,levels
oxygen_flow,body_raft,thermal,5,-0.3107233605918417,-0.2442242208959222,-0.30882366801696937,-0.26942949342414013,levels
oxygen_flow,runner_temp_cr_taphole,thermal,16,0.021198700918973922,0.01553964081030067,0.009652524977836823,0.012163665412565543,levels
oxygen_flow,runner_temp_pci_taphole,thermal,13,0.19570791273481805,0.0967806974981452,0.12954875877369373,0.1599410822816291,levels
oxygen_flow,body_dp_total,aero,0,0.6324584060183627,0.6324584060183627,0.4314037173334764,0.33667864917850804,levels
oxygen_flow,body_perm,aero,3,-0.23405948180500644,-0.1962033152073559,-0.23325777604454934,-0.21612321902101653,levels
oxygen_flow,top_press_avg,aero,0,0.6175242311720215,0.6175242311720215,0.3875678169896723,0.29203895433425797,levels
steam_injection,body_etaco,gas,0,0.0,0.0,0.0,0.0,levels
steam_injection,co_pct,gas,0,0.0,0.0,0.0,0.0,levels
steam_injection,co2_pct,gas,0,0.0,0.0,0.0,0.0,levels
steam_injection,h2_pct,gas,0,0.0,0.0,0.0,0.0,levels
steam_injection,top_temp_avg,gas,0,0.0,0.0,0.0,0.0,levels
steam_injection,body_raft,thermal,0,0.0,0.0,0.0,0.0,levels
steam_injection,runner_temp_cr_taphole,thermal,0,0.0,0.0,0.0,0.0,levels
steam_injection,runner_temp_pci_taphole,thermal,0,0.0,0.0,0.0,0.0,levels
steam_injection,body_dp_total,aero,0,0.0,0.0,0.0,0.0,levels
steam_injection,body_perm,aero,0,0.0,0.0,0.0,0.0,levels
steam_injection,top_press_avg,aero,0,0.0,0.0,0.0,0.0,levels
coal_rate_actual_value,body_etaco,gas,0,0.2515228923816609,0.2515228923816609,0.205398368238634,0.13747061827523702,levels
coal_rate_actual_value,co_pct,gas,0,0.24205411639364866,0.24205411639364866,0.1551217084226686,0.1320841652963949,levels
coal_rate_actual_value,co2_pct,gas,0,0.47039307090448507,0.47039307090448507,0.36926331125101586,0.28410207781369895,levels
coal_rate_actual_value,h2_pct,gas,0,0.7587047810117264,0.7587047810117264,0.5748252984782417,0.4749609248166095,levels
